estdepartureairport,estarrivalairport,Hour,Date,flight_count
00AL,KHUA,18,2018-12-26,1
00AS,KHSD,00,2018-06-11,1
00AZ,KCHD,20,2018-08-12,1
00AZ,KDVT,22,2018-10-05,1
00AZ,KFFZ,17,2018-12-09,1
00AZ,KGYR,23,2018-06-12,1
00AZ,KTUS,01,2018-06-09,1
00FA,KVDF,22,2018-12-13,1
00KS,40KS,17,2018-10-18,1
00KS,GA53,16,2018-08-12,1
00KS,KIXD,16,2018-10-18,1
00NC,59NC,21,2018-07-08,1
00NC,7NC6,19,2018-10-17,1
00NC,KDAL,16,2018-12-11,1
00NC,MO88,11,2018-06-30,1
00NC,OI41,20,2018-09-07,1
00NY,KBQR,20,2018-08-12,1
00VA,33VA,22,2018-12-03,1
00VA,KSIF,18,2018-12-26,2
00VA,KW78,19,2018-11-14,1
00WA,KORS,23,2018-06-22,1
00WI,KRNT,16,2018-07-24,1
00WI,WI67,23,2018-07-22,1
01CL,KSAC,23,2018-07-10,1
01CL,KSJC,00,2018-06-12,1
01FA,FL50,22,2018-10-05,1
01FA,KHWO,06,2018-10-17,1
01FA,KLEE,14,2018-08-12,1
01FL,5FL0,16,2018-10-17,1
01FL,6FD2,14,2018-10-17,1
01FL,FA18,21,2018-10-05,1
01FL,FD49,20,2018-10-05,1
01FL,FD86,14,2018-10-18,1
01FL,FL16,13,2018-10-18,1
01FL,KDFW,13,2018-10-17,1
01FL,KOPF,15,2018-10-17,2
01FL,KSFB,14,2018-10-02,7
01FL,KXFL,23,2018-10-17,1
01IA,KLOT,16,2018-07-08,1
01II,52IN,22,2018-08-12,1
01NH,KLEB,16,2018-12-26,1
01TE,TS54,14,2018-12-26,1
01TX,KEDC,15,2018-06-09,1
01TX,KF44,03,2018-10-05,1
01VA,KFME,23,2018-12-23,1
01VA,KJYO,21,2018-10-18,3
02FA,KTNT,22,2018-12-10,1
02II,90IL,23,2018-09-06,1
02II,II15,16,2018-12-09,1
02II,KGAI,16,2018-12-09,1
02II,KLAF,20,2018-08-13,1
02II,KTYQ,18,2018-12-09,1
02II,KVPZ,21,2018-08-12,1
02IN,07KY,14,2018-08-12,1
02IN,II81,19,2018-10-02,1
02IN,XS01,11,2018-10-17,1
02MD,7NY0,00,2018-07-14,1
02ME,KGNV,11,2018-10-18,1
02ME,NH43,13,2018-07-08,1
02MO,KSET,15,2018-06-18,1
02MU,62OK,18,2018-12-09,1
02MU,KEOS,18,2018-12-24,3
02MU,OK30,15,2018-10-18,1
02TN,TN65,22,2018-06-11,1
02TX,KF49,21,2018-12-09,1
02XS,KDFW,14,2018-08-12,1
02XS,KODO,17,2018-06-27,1
02XS,KPWA,21,2018-07-08,1
02XS,KSDL,14,2018-08-13,1
03CO,KAPA,16,2018-06-28,1
03FA,4FL8,01,2018-12-13,1
03FA,92FL,15,2018-12-11,1
03IN,K13C,18,2018-08-12,1
03NY,KABE,22,2018-06-27,1
03NY,KCDW,00,2018-06-18,2
03NY,KFRG,21,2018-06-18,2
03NY,KHPN,17,2018-06-12,1
03NY,KLGA,20,2018-07-08,1
03NY,KPOU,02,2018-08-01,1
03NY,KTEB,14,2018-06-18,2
03NY,KWHP,16,2018-08-12,1
03NY,PN33,17,2018-07-08,1
03OK,40OK,13,2018-07-25,1
03OK,6OK9,23,2018-09-15,1
03OK,KOMA,14,2018-08-12,1
03PS,34PN,15,2018-10-02,1
03WA,KPSC,04,2018-06-27,1
03XS,KT27,14,2018-10-02,1
04CA,CL13,14,2018-07-16,1
04CA,KSBD,17,2018-12-24,1
04CL,KFUL,20,2018-12-09,1
04CL,KRNM,21,2018-06-28,1
04LL,0WI6,19,2018-12-11,1
04LL,5WI5,14,2018-08-12,1
04LL,KDPA,20,2018-06-18,1
04LL,KGRB,20,2018-12-09,1
04LL,KPWK,22,2018-12-26,1
04LL,LL10,21,2018-07-08,1
04LL,LL22,16,2018-08-01,1
04MI,K45G,18,2018-09-07,1
04MI,KJXN,13,2018-05-27,1
04MI,KOZW,23,2018-07-08,1
04MO,MU21,22,2018-06-27,1
04WA,KPSC,23,2018-06-27,1
05AR,KROG,17,2018-09-07,1
05CL,KCCR,23,2018-07-10,1
05IN,KLAX,19,2018-06-27,1
05IN,TN58,18,2018-06-28,1
05MD,KFME,00,2018-06-18,1
05MD,KTEB,22,2018-06-11,3
05MD,KX59,14,2018-06-18,1
05OK,0OK3,23,2018-06-22,1
05TE,40TE,00,2018-06-27,1
05TE,40XS,17,2018-08-01,1
05TE,4TX8,07,2018-06-18,1
05TX,0TX1,14,2018-08-01,1
06FA,0FL9,16,2018-12-13,1
06FA,8GA3,10,2018-12-11,1
06FA,CT96,16,2018-09-20,1
06FA,FA09,17,2018-09-15,1
06FA,KM01,13,2018-09-19,1
06MO,KDDC,13,2018-11-14,1
06NY,23NK,17,2018-08-12,1
06OH,K62D,18,2018-12-13,1
06OR,OG02,23,2018-12-08,1
06OR,OR81,17,2018-12-13,1
06TN,KMBT,17,2018-06-09,1
06TX,KDWH,23,2018-10-10,1
06WI,KMIC,00,2018-08-01,1
06WN,KBFI,16,2018-08-12,1
06WN,KZ10,17,2018-06-12,1
06WN,WA09,21,2018-07-08,1
07AA,PAMR,23,2018-07-10,1
07AA,PAWS,20,2018-06-28,1
07FA,0WI7,11,2018-10-18,1
07FA,KMIA,12,2018-10-05,1
07FA,KSTP,18,2018-12-09,1
07FA,KTEB,16,2018-12-09,1
07FA,KTMB,19,2018-04-26,1
07FA,KYIP,16,2018-04-01,1
07FA,NH76,20,2018-12-09,1
07MD,14VA,19,2018-12-24,1
07MD,41NC,16,2018-10-05,1
07MD,KFME,16,2018-12-13,1
07MD,KJYO,18,2018-06-18,1
07MD,PA47,18,2018-12-13,1
07TS,1XA4,23,2018-07-22,1
07TS,57XS,20,2018-06-12,1
07TS,KDAL,13,2018-12-26,1
07TS,KDTO,16,2018-12-11,1
07TS,TA75,14,2018-08-13,1
07TS,TX92,21,2018-12-09,2
07TS,XS17,22,2018-07-25,1
08LL,LL34,20,2018-12-09,1
08MA,5CT6,18,2018-09-19,1
08ND,MN49,21,2018-07-30,1
08VA,VA85,16,2018-12-26,1
08XA,KMWL,14,2018-06-12,1
09CL,CA21,21,2018-08-12,1
09CL,KCCR,02,2018-08-13,1
09CO,KPUB,15,2018-06-12,1
09GA,KTVI,16,2018-12-13,1
09ME,K3B4,17,2018-12-11,1
09ME,KBVY,17,2018-06-09,1
09ME,KCON,13,2018-07-08,1
09ME,KDAW,15,2018-06-09,1
09ME,KPSM,16,2018-12-26,1
09ME,MA86,15,2018-09-16,1
09NC,64NC,23,2018-09-18,1
09NC,70NC,18,2018-10-05,1
09NC,K43A,14,2018-08-12,1
09NC,KDLZ,15,2018-10-05,1
09NC,KHBI,13,2018-06-09,1
09NC,KRDU,21,2018-09-19,2
09NE,72NE,00,2018-09-19,1
09NR,KMMT,15,2018-12-26,1
09PA,68NY,00,2018-10-08,1
09PA,IN65,21,2018-11-10,1
09PA,KIND,12,2018-12-11,1
0AK2,PANC,01,2018-07-08,1
0AL9,KM22,22,2018-09-07,1
0AL9,KMSL,20,2018-08-12,1
0AR3,AR94,19,2018-10-02,1
0CA3,1CA1,01,2018-11-11,1
0CA3,5CL1,00,2018-12-09,1
0CA3,CA88,22,2018-10-05,1
0CA3,KHHR,19,2018-06-12,1
0CA3,KIZA,17,2018-10-05,1
0CA3,KSBA,19,2018-06-12,1
0CA3,KWHP,23,2018-06-22,1
0CA5,KUDD,19,2018-10-17,1
0CA8,KSNA,00,2018-06-12,1
0CA9,KLGB,22,2018-12-09,1
0CA9,KSBP,01,2018-09-07,3
0CA9,KSMO,23,2018-10-17,1
0CD7,KBJC,18,2018-06-09,2
0CL1,KTOA,20,2018-08-12,1
0CL1,KWHP,14,2018-09-19,1
0FA1,4FL9,16,2018-12-13,1
0FA1,FA44,11,2018-06-18,1
0FA1,FL57,23,2018-11-28,1
0FA1,KLAL,16,2018-11-14,1
0FD0,KDAB,16,2018-06-18,2
0FD9,KTLH,15,2018-10-18,1
0FL9,KFXE,23,2018-12-11,2
0FL9,KHWO,17,2018-12-24,2
0FL9,KMIA,12,2018-09-19,1
0GA2,33GA,16,2018-12-24,1
0GA2,GA18,18,2018-12-24,1
0GA2,SC33,17,2018-12-26,1
0GE0,FA40,21,2018-08-17,1
0GE0,KFTY,14,2018-06-18,1
0GE1,KSEM,22,2018-12-03,1
0II1,KLAF,23,2018-09-20,1
0II6,MI86,14,2018-10-18,1
0II9,96IS,16,2018-08-01,1
0II9,KHNB,23,2018-09-12,1
0IL8,13KY,14,2018-11-14,1
0IL8,KBMI,20,2018-12-09,1
0IL8,KDPA,00,2018-08-01,1
0IL9,K3F7,16,2018-10-18,1
